color1,color2,transformed_color1,transformed_color2,distance,transformed_distance
"(148, 0, 1)","(138, 1, 0)","(22, 17, 0)","(22, 17, 0)",10.0995049384,0.0
"(148, 0, 1)","(139, 1, 0)","(22, 17, 0)","(22, 17, 0)",9.11043357914,0.0
"(148, 0, 1)","(140, 1, 0)","(22, 17, 0)","(22, 17, 0)",8.12403840464,0.0
"(148, 0, 1)","(145, 0, 0)","(22, 17, 0)","(22, 17, 0)",3.16227766017,0.0
"(148, 0, 1)","(146, 0, 0)","(22, 17, 0)","(22, 17, 0)",2.2360679775,0.0
"(148, 0, 1)","(147, 0, 0)","(22, 17, 0)","(22, 17, 0)",1.41421356237,0.0
"(149, 0, 0)","(128, 3, 0)","(23, 17, 0)","(23, 17, 0)",21.2132034356,0.0
"(149, 0, 0)","(129, 3, 0)","(23, 17, 0)","(23, 17, 0)",20.2237484162,0.0
"(149, 0, 0)","(130, 3, 0)","(23, 17, 0)","(23, 17, 0)",19.2353840617,0.0
"(149, 0, 0)","(131, 3, 0)","(23, 17, 0)","(23, 17, 0)",18.2482875909,0.0
"(149, 0, 0)","(132, 3, 0)","(23, 17, 0)","(23, 17, 0)",17.2626765016,0.0
"(149, 0, 0)","(134, 2, 0)","(23, 17, 0)","(23, 17, 0)",15.1327459504,0.0
"(149, 0, 0)","(135, 2, 0)","(23, 17, 0)","(23, 17, 0)",14.1421356237,0.0
"(149, 0, 0)","(136, 2, 0)","(23, 17, 0)","(23, 17, 0)",13.152946438,0.0
"(149, 0, 0)","(137, 2, 0)","(23, 17, 0)","(23, 17, 0)",12.1655250606,0.0
"(149, 0, 0)","(138, 2, 0)","(23, 17, 0)","(23, 17, 0)",11.1803398875,0.0
"(149, 0, 0)","(139, 2, 0)","(23, 17, 0)","(23, 17, 0)",10.1980390272,0.0
"(149, 0, 0)","(141, 1, 0)","(23, 17, 0)","(23, 17, 0)",8.0622577483,0.0
"(149, 0, 0)","(142, 1, 0)","(23, 17, 0)","(23, 17, 0)",7.07106781187,0.0
"(149, 0, 0)","(143, 1, 0)","(23, 17, 0)","(23, 17, 0)",6.0827625303,0.0
"(149, 0, 0)","(144, 1, 0)","(23, 17, 0)","(23, 17, 0)",5.09901951359,0.0
"(149, 0, 0)","(145, 1, 0)","(23, 17, 0)","(23, 17, 0)",4.12310562562,0.0
"(149, 0, 0)","(148, 0, 0)","(23, 17, 0)","(23, 17, 0)",1.0,0.0
"(149, 0, 0)","(150, 0, 0)","(23, 17, 0)","(23, 17, 0)",1.0,0.0
"(149, 0, 0)","(151, 0, 0)","(23, 17, 0)","(23, 17, 0)",2.0,0.0
"(149, 0, 0)","(152, 0, 0)","(23, 17, 0)","(23, 17, 0)",3.0,0.0
"(149, 0, 1)","(131, 2, 0)","(22, 17, 0)","(22, 17, 0)",18.1383571472,0.0
"(149, 0, 1)","(132, 2, 0)","(22, 17, 0)","(22, 17, 0)",17.1464281995,0.0
"(149, 0, 1)","(133, 2, 0)","(22, 17, 0)","(22, 17, 0)",16.1554944214,0.0
"(149, 0, 1)","(138, 1, 0)","(22, 17, 0)","(22, 17, 0)",11.0905365064,0.0
"(149, 0, 1)","(139, 1, 0)","(22, 17, 0)","(22, 17, 0)",10.0995049384,0.0
"(149, 0, 1)","(140, 1, 0)","(22, 17, 0)","(22, 17, 0)",9.11043357914,0.0
"(149, 0, 1)","(145, 0, 0)","(22, 17, 0)","(22, 17, 0)",4.12310562562,0.0
"(149, 0, 1)","(146, 0, 0)","(22, 17, 0)","(22, 17, 0)",3.16227766017,0.0
"(149, 0, 1)","(147, 0, 0)","(22, 17, 0)","(22, 17, 0)",2.2360679775,0.0
"(150, 0, 0)","(128, 3, 0)","(23, 17, 0)","(23, 17, 0)",22.2036033112,0.0
"(150, 0, 0)","(129, 3, 0)","(23, 17, 0)","(23, 17, 0)",21.2132034356,0.0
"(150, 0, 0)","(130, 3, 0)","(23, 17, 0)","(23, 17, 0)",20.2237484162,0.0
"(150, 0, 0)","(131, 3, 0)","(23, 17, 0)","(23, 17, 0)",19.2353840617,0.0
"(150, 0, 0)","(132, 3, 0)","(23, 17, 0)","(23, 17, 0)",18.2482875909,0.0
"(150, 0, 0)","(134, 2, 0)","(23, 17, 0)","(23, 17, 0)",16.1245154966,0.0
"(150, 0, 0)","(135, 2, 0)","(23, 17, 0)","(23, 17, 0)",15.1327459504,0.0
"(150, 0, 0)","(136, 2, 0)","(23, 17, 0)","(23, 17, 0)",14.1421356237,0.0
"(150, 0, 0)","(137, 2, 0)","(23, 17, 0)","(23, 17, 0)",13.152946438,0.0
"(150, 0, 0)","(138, 2, 0)","(23, 17, 0)","(23, 17, 0)",12.1655250606,0.0
"(150, 0, 0)","(139, 2, 0)","(23, 17, 0)","(23, 17, 0)",11.1803398875,0.0
"(150, 0, 0)","(141, 1, 0)","(23, 17, 0)","(23, 17, 0)",9.05538513814,0.0
"(150, 0, 0)","(142, 1, 0)","(23, 17, 0)","(23, 17, 0)",8.0622577483,0.0
"(150, 0, 0)","(143, 1, 0)","(23, 17, 0)","(23, 17, 0)",7.07106781187,0.0
"(150, 0, 0)","(144, 1, 0)","(23, 17, 0)","(23, 17, 0)",6.0827625303,0.0
"(150, 0, 0)","(145, 1, 0)","(23, 17, 0)","(23, 17, 0)",5.09901951359,0.0
"(150, 0, 0)","(148, 0, 0)","(23, 17, 0)","(23, 17, 0)",2.0,0.0
"(150, 0, 0)","(149, 0, 0)","(23, 17, 0)","(23, 17, 0)",1.0,0.0
"(150, 0, 0)","(151, 0, 0)","(23, 17, 0)","(23, 17, 0)",1.0,0.0
"(150, 0, 0)","(152, 0, 0)","(23, 17, 0)","(23, 17, 0)",2.0,0.0
"(150, 0, 1)","(128, 3, 0)","(23, 17, 0)","(23, 17, 0)",22.2261107709,0.0
"(150, 0, 1)","(129, 3, 0)","(23, 17, 0)","(23, 17, 0)",21.2367605816,0.0
